barcode,collNo_Text,collector_Text,collrTeam_Text,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LatDecL
104681,1744,P. Genelle,G. Fleming,Citrus Co.,Apocynaceae,Asclepias,null,null,92061,null,null,null,TRUE,3177,null,humistrata,Walter,null,04/15/1973,FL 480.,null,"Roadside, edge of forest area, sandy full sun.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
105106,1790,P. Genelle,G. Fleming,Hernando Co.,Apocynaceae,Asclepias,null,null,91846,null,null,null,TRUE,3161,null,lanceolata,Walter,null,05/20/1973,Tower Road.,Dec 1995,"Road, dry sand, partial shade on side road.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
153768,s.n.,T. F. Rochow,,Polk Co.,Apocynaceae,Asclepias,null,null,91771,null,null,null,TRUE,2611,null,longifolia,Michx.,null,04/24/1980,"Green Swamp, ca. 2 mi. S of Withlacoochee River and 2 mi. N of Gator Creek. T25S, R23E, Sec. 21.",Dec 1995,Roadway in pine flatwoods.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,28.35
104832,1828,P. Genelle,G. Fleming,Sumter Co.,Apocynaceae,Asclepias,null,null,91461,null,null,null,TRUE,3188,null,pedicellata,Walter,null,05/05/1973,River Road.,Dec 1995,"Full sun, sandy pinelands.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
227196,2346,M. T. Strong,,Sumter Co.,Apocynaceae,Asclepias,null,null,91144,null,null,null,TRUE,2635,null,tomentosa,Elliott,null,22-23 May 2000,"NW side of FL 44, 1.6 km W of junction with FL 475, ca. 9 km ENE of the Withlacoochee River (where FL 44 crosses it), and 9.6 km W of Wildwood.",null,Longleaf pine [Pinus palustris] - turkey oak [Quercus laevis] sandhills.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.038974,28.865264
122566,2134,P. Genelle,G. Fleming,Pasco Co.,Apocynaceae,Asclepias,null,null,91159,null,null,null,TRUE,2635,null,tomentosa,Elliott,null,06/14/1975,"FL 575, near Withlacoochee River.",Dec 1995,Roadside.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.172029,28.465832
105121,1882,P. Genelle,G. Fleming,Citrus Co.,Apocynaceae,Asclepias,null,null,91035,null,null,null,TRUE,3627,null,tuberosa,L.,null,05/27/1973,"Citrus section, TR 15.",13-Jun-2013,"Pinelands, sand, dry.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,28.8667
227771,20048,S. L. Orzell,E.L. Bridges,Hamilton Co.,Apocynaceae,Asclepias,null,null,91028,null,null,null,TRUE,3627,null,tuberosa,L.,null,07/07/1992,"Ca. 0.8 mi. N of FL 6 at a point ca. 0.5 mi. E of its junction with FL 143 at Blue Springs, ca. 2 mi. E of Withlacoochee River, ca. 7 air mi. SSW of Jennings; Blue Springs Longleaf. T1N, R11E, Sec. 10, SW¼.",13-Jun-2013,Typic dry upland burned longleaf pine [Pinus palustris] savanna.,Flower,null,null,null,null,null,null,80,90,ft,FALSE,null,-83.2125,30.49722222
229230,19725,S. L. Orzell,E.L. Bridges,Citrus Co.,Apocynaceae,Asclepias,null,null,91040,null,null,null,TRUE,3627,null,tuberosa,L.,null,06/29/1992,"ust E of section line road, ca. 1.4 mi. S of Fivemile Pond, ca. 3.5 air mi. S of FL 44, ca. 10 air mi. E of Homosassa Springs. Lecanto 7.5' Quad. T19S, R19E, Sec. 27, SW¼.",13-Jun-2013,Mature burned longleaf pine [Pinus palustris] sandhill. Soils - Lakeland (Typic Quartzipsamments).,Flower,null,null,null,null,null,null,100,130,ft,FALSE,Withlacoochee State Forest,-82.4025,28.80472222
238581,3133,M. T. Strong,,Sumter Co.,Apocynaceae,Asclepias,null,null,90870,null,null,null,TRUE,3470,null,verticillata,L.,null,07/26/2003,"Croom management area, SE of I-75, ca. 2-3 km SE of Croom.",null,Damp pineland-scrub bordering sand road.,Flower,null,null,null,null,Corollas white.,null,null,null,null,FALSE,Withlacoochee State Forest,-82.2167,28.5833
