"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"227043","Orchidaceae","Spiranthes","praecox","Spiranthes praecox",2025-04-18,"2025","04","28.35","-81.8167","Hernando Co."
"227188","Araceae","Spirodela","polyrhiza","Spirodela polyrhiza",1963-05-06,"1963","05","28.865264","-82.038974","Sumter Co."
"104735","Poaceae","Sporobolus","indicus","Sporobolus indicus",1981-09-29,"1981","09","28.587772","-82.227588","Hernando Co."
"10289","Caryophyllaceae","Stellaria","media","Stellaria media",1985-04-02,"1985","04","28.659991","-82.27759","Hernando Co."
"161166","Caryophyllaceae","Stellaria","media","Stellaria media",2008-04-15,"2008","04","28.55","-82.05","Sumter Co."
"108379","Caryophyllaceae","Stellaria","parva","Stellaria parva",2008-04-15,"2008","04","28.5","-82.1","Hernando Co."
"105113","Caryophyllaceae","Stellaria","parva","Stellaria parva",2008-04-15,"2008","04","28.8667","-82.45","Citrus Co."
"204575","Euphorbiaceae","Stillingia","sylvatica","Stillingia sylvatica",2008-04-03,"2008","04","28.6333","-82.25","Sumter Co."
"245507","Convolvulaceae","Stylisma","patens","Stylisma patens",2000-05-22,"2000","05","28.42694444","-82.05138889","Sumter Co."
"302841","Styracaceae","Styrax","americanus","Styrax americanus",1962-07-20,"1962","07","28.5858","-82.3004","Hernando Co."
"185055","Asteraceae","Symphyotrichum","adnatum","Symphyotrichum adnatum",2008-11-26,"2008","11","28.6833","-82.1833","Sumter Co."
"227243","Asteraceae","Symphyotrichum","bahamense","Symphyotrichum bahamense",1981-09-29,"1981","09","28.5333","-82.45","Hernando Co."
"306180","Asteraceae","Symphyotrichum","bahamense","Symphyotrichum bahamense",1975-11-02,"1975","11","null","null","Pasco Co."
"167222","Asteraceae","Symphyotrichum","bahamense","Symphyotrichum bahamense",1962-10-21,"1962","10","28.35","-81.8167","Hernando Co."
"120371","Asteraceae","Symphyotrichum","bahamense","Symphyotrichum bahamense",1963-09-17,"1963","09","28.465832","-82.172029","Pasco Co."
"229056","Asteraceae","Symphyotrichum","carolinianum","Symphyotrichum carolinianum",1981-11-12,"1981","11","28.45833333","-82.03611111","Sumter Co."
"27777","Asteraceae","Symphyotrichum","carolinianum","Symphyotrichum carolinianum",2008-11-26,"2008","11","28.35","-81.8167","Sumter Co."
